DRRPC	 Contracts 	 20 
DRRPC	 Average Price 	 15,016 
DRRPC	 Closing Rate 	15.9%
DRRPC	 VPG 	 2,384 
DRRPC	 Volume 	 300,324 
HYVPC	 Arrivals 	 0 
HYVPC	 % Penetración 	0.0%
HYVPC	 Q's 	 - 
HYVPC	 Contracts 	 - 
HYVPC	 Average Price 	 - 
HYVPC	 Closing Rate 	0.0%
HYVPC	 VPG 	 - 
HYVPC	 Volume 	 - 
SECCC	 Arrivals 	 1,665 
SECCC	 % Penetración 	14.1%
SECCC	 Q's 	 235 
SECCC	 Contracts 	 35 
SECCC	 Average Price 	 22,823 
SECCC	 Closing Rate 	14.9%
SECCC	 VPG 	 3,399 
SECCC	 Volume 	 798,794 
SECPE	 Arrivals 	 1,359 
SECPE	 % Penetración 	9.0%
SECPE	 Q's 	 123 
SECPE	 Contracts 	 23 
SECPE	 Average Price 	 19,876 
SECPE	 Closing Rate 	18.7%
SECPE	 VPG 	 3,717 
SECPE	 Volume 	 457,141 
SERPC	 Arrivals 	 2,228 
SERPC	 % Penetración 	12.2%
SERPC	 Q's 	 272 
SERPC	 Contracts 	 44 
SERPC	 Average Price 	 21,377 
SERPC	 Closing Rate 	16.2%
SERPC	 VPG 	 3,458 
SERPC	 Volume 	 940,603 
SETPC	 Arrivals 	 2,028 
SETPC	 % Penetración 	12.5%
SETPC	 Q's 	 253 
SETPC	 Contracts 	 37 
SETPC	 Average Price 	 22,710 
SETPC	 Closing Rate 	14.6%
SETPC	 VPG 	 3,321 
SETPC	 Volume 	 840,278 
SUCDP	 Arrivals 	 2,948 
SUCDP	 % Penetración 	5.8%
SUCDP	 Q's 	 171 
SUCDP	 Contracts 	 25 
SUCDP	 Average Price 	 13,515 
SUCDP	 Closing Rate 	14.6%
SUCDP	 VPG 	 1,976 
SUCDP	 Volume 	 337,877 
SUDLR	 Arrivals 	 2,875 
SUDLR	 % Penetración 	2.8%
SUDLR	 Q's 	 81 
SUDLR	 Contracts 	 12 
SUDLR	 Average Price 	 11,009 
SUDLR	 Closing Rate 	14.8%
SUDLR	 VPG 	 1,631 
SUDLR	 Volume 	 132,110 
ZOAPC	 Arrivals 	 204 
ZOAPC	 % Penetración 	16.1%
ZOAPC	 Q's 	 33 
ZOAPC	 Contracts 	 6 
ZOAPC	 Average Price 	 23,747 
ZOAPC	 Closing Rate 	18.2%
ZOAPC	 VPG 	 4,318 
ZOAPC	 Volume 	 142,484 
DRELR	 Arrivals 	 1,036 
DRELR	 % Penetración 	2.4%
DRELR	 Q's 	 25 
DRELR	 Contracts 	 5 
DRELR	 Average Price 	 10,196 
DRELR	 Closing Rate 	20.0%
DRELR	 VPG 	 2,039 
DRELR	 Volume 	 50,979 
SECLR	 Arrivals 	 884 
SECLR	 % Penetración 	3.4%
SECLR	 Q's 	 30 
SECLR	 Contracts 	 4 
SECLR	 Average Price 	 10,144 
SECLR	 Closing Rate 	13.3%
SECLR	 VPG 	 1,353 
SECLR	 Volume 	 40,576 
PUJIF	 Arrivals 	 1,081 
PUJIF	 % Penetración 	3.4%
PUJIF	 Q's 	 37 
PUJIF	 Contracts 	 4 
PUJIF	 Average Price 	 17,918 
PUJIF	 Closing Rate 	10.8%
PUJIF	 VPG 	 1,937 
PUJIF	 Volume 	 71,673 
PUJIA	 Arrivals 	 1,053 
PUJIA	 % Penetración 	4.6%
PUJIA	 Q's 	 48 
PUJIA	 Contracts 	 10 
PUJIA	 Average Price 	 19,631 
PUJIA	 Closing Rate 	20.8%
PUJIA	 VPG 	 4,090 
PUJIA	 Volume 	 196,314 
DRCUR	 Arrivals 	 791 
DRCUR	 % Penetración 	10.1%
DRCUR	 Q's 	 80 
DRCUR	 Contracts 	 15 
DRCUR	 Average Price 	 12,577 
DRCUR	 Closing Rate 	18.8%
DRCUR	 VPG 	 2,358 
DRCUR	 Volume 	 188,654 
SUCUR	 Arrivals 	 1,111 
SUCUR	 % Penetración 	3.4%
SUCUR	 Q's 	 38 
SUCUR	 Contracts 	 6 
SUCUR	 Average Price 	 11,064 
SUCUR	 Closing Rate 	15.8%
SUCUR	 VPG 	 1,747 
SUCUR	 Volume 	 66,384 
ZOCUR	 Arrivals 	 208 
